time,event
1690393467.2,in right
1690393483.8,out right
1690393495.5,out left
1690393500.6,out left
1690393518.9,out left
1690393520.6,in right
1690393526.0,in right
1690393526.8,out right
1690393527.8,out left
1690393532.7,out right
1690393540.3,out left
1690393559.8,out left
1690393581.7,out left
1690393583.8,out right
1690393589.5,out right
1690393602.6,out right
1690393612.7,in right
1690393635.5,in right
1690393647.5,in right
1690393650.1,in right
1690393651.4,in right
1690393672.4,out right
1690393673.8,out left
1690393673.9,out right
1690393674.1,in right
1690393677.1,in right
