time,event
1690393478.1,in right
1690393493.2,in right
1690393498.9,in right
1690393504.8,in left
1690393515.5,in right
1690393522.2,in right
1690393524.0,in left
1690393529.9,out right
1690393534.5,in right
1690393556.6,in right
1690393568.8,in left
1690393579.2,in right
1690393579.8,out right
1690393582.7,in left
1690393586.8,in right
1690393588.7,out right
1690393594.8,in right
1690393598.0,in left
1690393643.4,out left
1690393650.8,in right
1690393670.9,in right
1690393671.1,out left
1690393677.8,out left
1690393680.0,in left
