time,event
1690394952.9,in right
1690394960.2,out left
1690394966.5,in right
1690395055.7,in right
1690395072.7,in right
1690395073.6,out right
1690395076.6,in left
1690395078.1,in right
1690395084.9,in right
1690395089.9,in right
1690395091.1,out right
1690395098.7,in right
1690395103.7,in left
1690395121.4,in right
1690395134.2,in right
1690395138.7,in right
1690395146.4,in left
1690395149.5,in right
1690395193.8,in left
1690395194.4,in right
1690395202.1,in left
1690395203.6,out left
1690395215.0,in right
1690395220.1,out right
1690395223.7,in left
