time,event
1690394953.3,out left
1690394954.7,out right
1690394967.3,out left
1690394981.2,in right
1690394994.0,in left
1690394999.7,in right
1690395040.4,in right
1690395045.1,in right
1690395048.5,out right
1690395055.8,out left
1690395066.1,out right
1690395074.2,out left
1690395079.7,out left
1690395080.2,out right
1690395086.4,out left
1690395088.5,in left
1690395090.6,out left
1690395094.1,in left
1690395100.2,out left
1690395101.6,out left
1690395102.5,out right
1690395109.8,out right
1690395111.4,in right
1690395123.2,out left
1690395127.4,in right
1690395135.6,out left
1690395137.2,in left
1690395140.0,out left
1690395150.8,out left
1690395150.9,out right
1690395162.0,in left
1690395184.3,in right
1690395195.7,out left
1690395197.3,in left
1690395199.0,out right
1690395207.3,out right
1690395218.1,out left
1690395221.3,in left
1690395225.8,out left
1690395227.1,out left
