time,event
1689369626.8,in right
1689369648.8,in right
1689369653.2,out right
1689369659.4,in right
1689369660.8,out right
1689369661.0,in right
1689369663.2,in right
1689369663.5,out right
1689369666.8,in right
1689369689.6,in right
1689369691.6,in right
1689369693.2,out right
1689369698.2,in right
1689369699.8,in right
1689369701.8,out right
1689369701.9,out right
1689369714.7,in right
1689369716.7,in right
1689369724.4,in right
1689369727.7,out right
1689369743.3,in right
1689369746.9,in right
