time,event
1689369348.0,in left
1689369354.1,in left
1689369366.8,in right
1689369370.8,out right
1689369372.9,out left
1689369387.2,out left
1689369398.1,in right
1689369404.1,in right
1689369411.5,in right
1689369412.1,out right
1689369414.3,in right
1689369416.5,in right
1689369419.4,in right
1689369427.3,in right
1689369427.9,in right
1689369434.5,in right
1689369434.9,in left
1689369437.6,in right
1689369437.7,in right
1689369442.0,in right
1689369448.6,in right
1689369453.3,in right
1689369463.1,out left
1689369465.3,in right
1689369471.3,in left
1689369473.8,in right
1689369476.7,in right
1689369481.2,out left
1689369487.5,in left
1689369489.6,in right
1689369503.3,in left
1689369521.2,in right
1689369528.5,in right
1689369532.8,in right
1689369534.0,in left
1689369540.6,in right
1689369554.4,in right
1689369560.9,in right
1689369563.4,in left
1689369572.2,in right
1689369575.5,in right
1689369580.8,out left
1689369582.7,in right
1689369585.7,out left
1689369597.6,in left
1689369598.5,in right
1689369607.1,in right
1689369610.4,in right
1689369619.4,in left
1689369629.6,out left
1689369649.4,in left
1689369654.3,out left
1689369657.2,out right
1689369669.2,out left
1689369670.4,out left
1689369673.7,in left
1689369676.5,in right
1689369694.8,out left
1689369699.9,in left
1689369704.4,out left
1689369726.5,out left
1689369760.5,in right
1689369778.5,in right
1689369785.9,in right
