time,left,right,total
1690392135.1,0, 1, 1
1690392135.2,0, 1, 1
1690392135.3,0, 1, 1
1690392135.4,0, 1, 1
1690392135.5,0, 1, 1
1690392135.6,0, 1, 1
1690392135.7,0, 0, 0
1690392135.8,0, 0, 0
1690392135.9,0, 0, 0
1690392136.0,0, 0, 0
1690392136.1,0, 0, 0
1690392136.2,0, 0, 0
1690392136.3,0, 0, 0
1690392136.4,0, 0, 0
1690392136.5,0, 0, 0
1690392136.6,0, 0, 0
1690392136.7,0, 0, 0
1690392136.8,0, 0, 0
1690392136.9,0, 0, 0
1690392137.0,0, 0, 0
1690392137.1,0, 0, 0
1690392137.2,0, 0, 0
1690392137.3,0, 0, 0
1690392137.4,0, 0, 0
1690392137.5,0, 0, 0
1690392137.6,0, 0, 0
1690392137.7,0, 0, 0
1690392137.8,0, 0, 0
1690392137.9,0, 0, 0
1690392138.0,0, 0, 0
1690392138.1,0, 0, 0
1690392138.2,0, 0, 0
1690392138.3,0, 0, 0
1690392138.4,0, 0, 0
1690392138.5,0, 0, 0
1690392138.6,0, 0, 0
1690392138.7,0, 0, 0
1690392138.8,0, 0, 0
1690392138.9,0, 0, 0
1690392139.0,0, 0, 0
1690392139.1,0, 0, 0
1690392139.2,1, 0, 1
1690392139.3,1, 0, 1
1690392139.4,1, 0, 1
1690392139.5,1, 0, 1
1690392139.6,1, 0, 1
1690392139.7,1, 0, 1
1690392139.8,1, 0, 1
1690392139.9,1, 0, 1
1690392140.0,1, 0, 1
1690392140.1,1, 0, 1
1690392140.2,1, 0, 1
1690392140.3,1, 0, 1
1690392140.4,1, 0, 1
1690392140.5,1, 0, 1
1690392140.6,1, 0, 1
1690392140.7,1, 0, 1
1690392140.8,0, 0, 0
1690392140.9,0, 0, 0
1690392141.0,1, 0, 1
1690392141.1,0, 0, 0
1690392141.2,0, 0, 0
1690392141.3,0, 0, 0
1690392141.4,0, 0, 0
1690392141.5,0, 0, 0
1690392141.6,0, 0, 0
1690392141.7,0, 0, 0
1690392141.8,0, 0, 0
1690392141.9,0, 0, 0
1690392142.0,0, 0, 0
1690392142.1,0, 1, 1
1690392142.2,0, 1, 1
1690392142.3,0, 1, 1
1690392142.4,0, 1, 1
1690392142.5,0, 1, 1
1690392142.6,0, 1, 1
1690392142.7,0, 1, 1
1690392142.8,0, 1, 1
1690392142.9,0, 1, 1
1690392143.0,0, 1, 1
1690392143.1,0, 1, 1
1690392143.2,0, 1, 1
1690392143.3,0, 1, 1
1690392143.4,0, 1, 1
1690392143.5,0, 1, 1
1690392143.6,0, 1, 1
1690392143.7,0, 1, 1
1690392143.8,0, 1, 1
1690392143.9,0, 1, 1
1690392144.0,0, 1, 1
1690392144.1,0, 1, 1
1690392144.2,0, 1, 1
1690392144.3,0, 1, 1
1690392144.4,0, 1, 1
1690392144.5,0, 1, 1
1690392144.6,0, 1, 1
1690392144.7,0, 1, 1
1690392144.8,0, 1, 1
1690392144.9,0, 1, 1
1690392145.0,0, 1, 1
1690392145.1,0, 1, 1
1690392145.2,0, 1, 1
1690392145.3,0, 1, 1
1690392145.4,0, 1, 1
1690392145.5,0, 1, 1
1690392145.6,0, 1, 1
1690392145.7,0, 1, 1
1690392145.8,0, 1, 1
1690392145.9,0, 1, 1
1690392146.0,0, 1, 1
1690392146.1,0, 1, 1
1690392146.2,0, 1, 1
1690392146.3,0, 1, 1
1690392146.4,0, 1, 1
1690392146.5,0, 1, 1
1690392146.6,0, 2, 2
1690392146.7,0, 2, 2
1690392146.8,0, 1, 1
1690392146.9,0, 2, 2
1690392147.0,0, 1, 1
1690392147.1,0, 1, 1
1690392147.2,0, 1, 1
1690392147.3,0, 1, 1
