time,left,right,total
1690392480.1,0, 0, 0
1690392480.2,0, 0, 0
1690392480.3,0, 0, 0
1690392480.4,0, 0, 0
1690392480.5,0, 0, 0
1690392480.6,0, 0, 0
1690392480.7,0, 0, 0
1690392480.8,0, 0, 0
1690392480.9,0, 0, 0
1690392481.0,0, 0, 0
1690392481.1,0, 0, 0
1690392481.2,0, 0, 0
1690392481.3,0, 0, 0
1690392481.4,0, 0, 0
1690392481.5,0, 0, 0
1690392481.6,0, 0, 0
1690392481.7,0, 0, 0
1690392481.8,0, 0, 0
1690392481.9,0, 0, 0
1690392482.0,0, 0, 0
1690392482.1,0, 0, 0
1690392482.2,0, 0, 0
1690392482.3,0, 0, 0
1690392482.4,0, 0, 0
1690392482.5,0, 0, 0
1690392482.6,0, 0, 0
1690392482.7,0, 0, 0
1690392482.8,0, 0, 0
1690392482.9,0, 0, 0
1690392483.0,0, 0, 0
1690392483.1,0, 0, 0
1690392483.2,0, 0, 0
1690392483.3,0, 0, 0
1690392483.4,0, 0, 0
1690392483.5,0, 0, 0
1690392483.6,0, 0, 0
1690392483.7,0, 0, 0
1690392483.8,0, 0, 0
1690392483.9,0, 0, 0
1690392484.0,0, 0, 0
1690392484.1,0, 0, 0
1690392484.2,0, 0, 0
1690392484.3,0, 0, 0
1690392484.4,0, 0, 0
1690392484.5,0, 0, 0
1690392484.6,0, 0, 0
1690392484.7,0, 0, 0
1690392484.8,0, 0, 0
1690392484.9,0, 0, 0
1690392485.0,0, 0, 0
1690392485.1,0, 0, 0
1690392485.2,0, 0, 0
1690392485.3,0, 0, 0
1690392485.4,0, 0, 0
1690392485.5,0, 0, 0
1690392485.6,0, 0, 0
1690392485.7,0, 0, 0
1690392485.8,0, 0, 0
1690392485.9,0, 0, 0
1690392486.0,0, 0, 0
1690392486.1,0, 0, 0
1690392486.2,0, 0, 0
1690392486.3,0, 0, 0
1690392486.4,0, 0, 0
1690392486.5,0, 0, 0
1690392486.6,0, 0, 0
1690392486.7,0, 0, 0
1690392486.8,0, 0, 0
1690392486.9,0, 0, 0
1690392487.0,0, 0, 0
1690392487.1,0, 0, 0
1690392487.2,0, 0, 0
1690392487.3,0, 0, 0
1690392487.4,0, 0, 0
1690392487.5,0, 0, 0
1690392487.6,0, 0, 0
1690392487.7,0, 0, 0
1690392487.8,0, 0, 0
1690392487.9,0, 0, 0
1690392488.0,0, 0, 0
1690392488.1,0, 0, 0
1690392488.2,0, 0, 0
1690392488.3,0, 0, 0
1690392488.4,0, 0, 0
1690392488.5,0, 0, 0
1690392488.6,0, 0, 0
1690392488.7,0, 0, 0
1690392488.8,0, 0, 0
1690392488.9,0, 0, 0
1690392489.0,0, 0, 0
1690392489.1,0, 0, 0
1690392489.2,0, 0, 0
1690392489.3,0, 0, 0
1690392489.4,0, 0, 0
1690392489.5,0, 0, 0
1690392489.6,0, 0, 0
1690392489.7,0, 0, 0
1690392489.8,0, 0, 0
1690392489.9,0, 0, 0
1690392490.0,0, 0, 0
1690392490.1,0, 0, 0
1690392490.2,0, 0, 0
1690392490.3,0, 0, 0
1690392490.4,0, 0, 0
1690392490.5,0, 0, 0
1690392490.6,0, 0, 0
1690392490.7,0, 0, 0
1690392490.8,0, 0, 0
1690392490.9,0, 0, 0
1690392491.0,0, 0, 0
1690392491.1,0, 0, 0
1690392491.2,0, 0, 0
1690392491.3,0, 0, 0
1690392491.4,0, 0, 0
1690392491.5,0, 0, 0
1690392491.6,0, 0, 0
1690392491.7,0, 0, 0
1690392491.8,0, 0, 0
1690392491.9,0, 0, 0
1690392492.0,0, 0, 0
1690392492.1,0, 0, 0
1690392492.2,0, 0, 0
1690392492.3,0, 0, 0
1690392492.4,0, 0, 0
1690392492.5,0, 0, 0
1690392492.6,0, 0, 0
1690392492.7,0, 0, 0
1690392492.8,0, 0, 0
1690392492.9,0, 0, 0
1690392493.0,0, 0, 0
1690392493.1,0, 0, 0
1690392493.2,0, 0, 0
1690392493.3,0, 0, 0
1690392493.4,0, 0, 0
1690392493.5,0, 0, 0
1690392493.6,0, 0, 0
1690392493.7,0, 0, 0
1690392493.8,0, 0, 0
1690392493.9,0, 0, 0
1690392494.0,0, 0, 0
1690392494.1,0, 0, 0
1690392494.2,0, 0, 0
1690392494.3,0, 0, 0
1690392494.4,0, 0, 0
1690392494.5,0, 0, 0
1690392494.6,0, 0, 0
1690392494.7,0, 0, 0
1690392494.8,0, 0, 0
1690392494.9,0, 0, 0
1690392495.0,0, 0, 0
1690392495.1,0, 0, 0
1690392495.2,0, 0, 0
1690392495.3,0, 0, 0
1690392495.4,0, 0, 0
1690392495.5,0, 0, 0
1690392495.6,0, 0, 0
1690392495.7,0, 0, 0
1690392495.8,0, 0, 0
1690392495.9,0, 0, 0
1690392496.0,0, 0, 0
1690392496.1,0, 0, 0
1690392496.2,0, 0, 0
1690392496.3,0, 0, 0
1690392496.4,0, 0, 0
1690392496.5,0, 0, 0
1690392496.6,0, 0, 0
1690392496.7,0, 0, 0
1690392496.8,0, 0, 0
1690392496.9,0, 0, 0
1690392497.0,0, 0, 0
1690392497.1,0, 0, 0
1690392497.2,0, 0, 0
1690392497.3,0, 0, 0
1690392497.4,0, 0, 0
1690392497.5,0, 0, 0
1690392497.6,0, 0, 0
1690392497.7,0, 0, 0
1690392497.8,0, 0, 0
1690392497.9,0, 0, 0
1690392498.0,0, 0, 0
1690392498.1,0, 0, 0
1690392498.2,0, 0, 0
1690392498.3,0, 0, 0
1690392498.4,0, 0, 0
1690392498.5,0, 0, 0
1690392498.6,0, 0, 0
1690392498.7,0, 0, 0
1690392498.8,0, 0, 0
1690392498.9,0, 0, 0
1690392499.0,0, 0, 0
1690392499.1,0, 0, 0
1690392499.2,0, 0, 0
1690392499.3,0, 0, 0
1690392499.4,0, 0, 0
1690392499.5,0, 0, 0
1690392499.6,0, 0, 0
1690392499.7,0, 0, 0
1690392499.8,0, 0, 0
1690392499.9,0, 0, 0
1690392500.0,0, 0, 0
1690392500.1,0, 0, 0
1690392500.2,0, 0, 0
1690392500.3,0, 0, 0
1690392500.4,0, 0, 0
1690392500.5,0, 0, 0
1690392500.6,0, 0, 0
1690392500.7,0, 0, 0
1690392500.8,0, 0, 0
1690392500.9,0, 0, 0
1690392501.0,0, 0, 0
1690392501.1,0, 0, 0
1690392501.2,0, 0, 0
1690392501.3,0, 0, 0
1690392501.4,0, 0, 0
1690392501.5,0, 0, 0
1690392501.6,0, 0, 0
1690392501.7,0, 0, 0
1690392501.8,0, 0, 0
1690392501.9,0, 0, 0
1690392502.0,0, 0, 0
1690392502.1,0, 0, 0
1690392502.2,0, 0, 0
1690392502.3,0, 0, 0
1690392502.4,0, 0, 0
1690392502.5,0, 0, 0
1690392502.6,0, 0, 0
1690392502.7,0, 0, 0
1690392502.8,0, 0, 0
1690392502.9,0, 0, 0
1690392503.0,0, 0, 0
1690392503.1,0, 0, 0
1690392503.2,0, 0, 0
1690392503.3,0, 0, 0
1690392503.4,0, 0, 0
1690392503.5,0, 0, 0
1690392503.6,0, 0, 0
1690392503.7,0, 0, 0
1690392503.8,0, 0, 0
1690392503.9,0, 0, 0
1690392504.0,0, 0, 0
1690392504.1,0, 0, 0
1690392504.2,0, 0, 0
1690392504.3,0, 0, 0
1690392504.4,0, 0, 0
1690392504.5,0, 0, 0
1690392504.6,0, 0, 0
1690392504.7,0, 0, 0
1690392504.8,0, 0, 0
1690392504.9,0, 0, 0
1690392505.0,0, 0, 0
1690392505.1,0, 0, 0
1690392505.2,0, 0, 0
1690392505.3,0, 0, 0
1690392505.4,0, 0, 0
1690392505.5,0, 0, 0
1690392505.6,0, 0, 0
1690392505.7,0, 0, 0
1690392505.8,0, 0, 0
1690392505.9,0, 0, 0
1690392506.0,0, 0, 0
1690392506.1,0, 0, 0
1690392506.2,0, 0, 0
1690392506.3,0, 0, 0
1690392506.4,0, 0, 0
1690392506.5,0, 0, 0
1690392506.6,0, 0, 0
1690392506.7,0, 0, 0
1690392506.8,0, 0, 0
1690392506.9,0, 0, 0
1690392507.0,0, 0, 0
1690392507.1,0, 0, 0
1690392507.2,0, 0, 0
1690392507.3,0, 0, 0
1690392507.4,0, 0, 0
1690392507.5,0, 0, 0
1690392507.6,0, 0, 0
1690392507.7,0, 0, 0
1690392507.8,0, 0, 0
1690392507.9,0, 0, 0
1690392508.0,0, 0, 0
1690392508.1,0, 0, 0
1690392508.2,0, 0, 0
1690392508.3,0, 0, 0
1690392508.4,0, 0, 0
1690392508.5,0, 0, 0
1690392508.6,0, 0, 0
1690392508.7,0, 0, 0
1690392508.8,0, 0, 0
1690392508.9,0, 0, 0
1690392509.0,0, 0, 0
1690392509.1,0, 0, 0
1690392509.2,0, 0, 0
1690392509.3,0, 0, 0
1690392509.4,0, 0, 0
1690392509.5,0, 0, 0
1690392509.6,0, 0, 0
1690392509.7,0, 0, 0
1690392509.8,0, 0, 0
1690392509.9,0, 0, 0
1690392510.0,0, 0, 0
1690392510.1,0, 0, 0
1690392510.2,0, 0, 0
1690392510.3,0, 0, 0
1690392510.4,0, 0, 0
1690392510.5,0, 0, 0
1690392510.6,0, 0, 0
1690392510.7,0, 0, 0
1690392510.8,0, 0, 0
1690392510.9,0, 0, 0
1690392511.0,0, 0, 0
1690392511.1,0, 0, 0
1690392511.2,0, 0, 0
1690392511.3,0, 0, 0
1690392511.4,0, 0, 0
1690392511.5,0, 0, 0
1690392511.6,0, 0, 0
1690392511.7,0, 0, 0
1690392511.8,0, 0, 0
1690392511.9,0, 0, 0
1690392512.0,0, 0, 0
1690392512.1,0, 0, 0
1690392512.2,0, 0, 0
1690392512.3,0, 0, 0
1690392512.4,0, 0, 0
1690392512.5,0, 0, 0
1690392512.6,0, 0, 0
1690392512.7,0, 0, 0
1690392512.8,0, 0, 0
1690392512.9,0, 0, 0
1690392513.0,0, 0, 0
1690392513.1,0, 0, 0
1690392513.2,0, 0, 0
1690392513.3,0, 0, 0
1690392513.4,0, 0, 0
1690392513.5,0, 0, 0
1690392513.6,0, 0, 0
1690392513.7,0, 0, 0
1690392513.8,0, 0, 0
1690392513.9,0, 0, 0
1690392514.0,0, 0, 0
1690392514.1,0, 0, 0
1690392514.2,0, 0, 0
1690392514.3,0, 0, 0
1690392514.4,0, 0, 0
1690392514.5,0, 0, 0
1690392514.6,0, 0, 0
1690392514.7,0, 0, 0
1690392514.8,0, 0, 0
1690392514.9,0, 0, 0
1690392515.0,0, 0, 0
1690392515.1,0, 0, 0
1690392515.2,0, 0, 0
1690392515.3,0, 0, 0
1690392515.4,0, 0, 0
1690392515.5,0, 0, 0
1690392515.6,0, 0, 0
1690392515.7,0, 0, 0
1690392515.8,0, 0, 0
1690392515.9,0, 0, 0
1690392516.0,0, 0, 0
1690392516.1,0, 0, 0
1690392516.2,0, 0, 0
1690392516.3,0, 0, 0
1690392516.4,0, 0, 0
1690392516.5,0, 0, 0
1690392516.6,0, 0, 0
1690392516.7,0, 0, 0
1690392516.8,0, 0, 0
1690392516.9,0, 0, 0
1690392517.0,0, 0, 0
1690392517.1,0, 0, 0
1690392517.2,0, 0, 0
1690392517.3,0, 0, 0
1690392517.4,0, 0, 0
1690392517.5,0, 0, 0
1690392517.6,0, 0, 0
1690392517.7,0, 0, 0
1690392517.8,0, 0, 0
1690392517.9,0, 0, 0
1690392518.0,0, 0, 0
1690392518.1,0, 0, 0
1690392518.2,0, 0, 0
1690392518.3,0, 0, 0
1690392518.4,0, 0, 0
1690392518.5,0, 0, 0
1690392518.6,0, 0, 0
1690392518.7,0, 0, 0
1690392518.8,0, 0, 0
1690392518.9,0, 0, 0
1690392519.0,0, 0, 0
1690392519.1,0, 0, 0
1690392519.2,0, 0, 0
1690392519.3,0, 0, 0
1690392519.4,0, 0, 0
1690392519.5,0, 0, 0
1690392519.6,0, 0, 0
1690392519.7,0, 0, 0
1690392519.8,0, 0, 0
1690392519.9,0, 0, 0
1690392520.0,0, 0, 0
1690392520.1,0, 0, 0
1690392520.2,0, 0, 0
1690392520.3,0, 0, 0
1690392520.4,0, 0, 0
1690392520.5,0, 0, 0
1690392520.6,0, 0, 0
1690392520.7,0, 0, 0
1690392520.8,0, 0, 0
1690392520.9,0, 0, 0
