time,left,right,total
1690395530.1,1, 0, 1
1690395530.2,1, 0, 1
1690395530.3,1, 0, 1
1690395530.4,1, 0, 1
1690395530.5,1, 0, 1
1690395530.6,1, 0, 1
1690395530.7,0, 0, 0
1690395530.8,0, 0, 0
1690395530.9,0, 0, 0
1690395531.0,0, 0, 0
1690395531.1,0, 0, 0
1690395531.2,0, 0, 0
1690395531.3,0, 0, 0
1690395531.4,0, 0, 0
1690395531.5,0, 0, 0
1690395531.6,0, 0, 0
1690395531.7,0, 0, 0
1690395531.8,0, 0, 0
1690395531.9,0, 0, 0
1690395532.0,0, 0, 0
1690395532.1,0, 0, 0
1690395532.2,0, 0, 0
1690395532.3,0, 0, 0
1690395532.4,0, 0, 0
1690395532.5,0, 1, 1
1690395532.6,0, 1, 1
1690395532.7,0, 1, 1
1690395532.8,0, 1, 1
1690395532.9,0, 1, 1
1690395533.0,0, 1, 1
1690395533.1,0, 1, 1
1690395533.2,0, 1, 1
1690395533.3,0, 1, 1
1690395533.4,0, 1, 1
1690395533.5,0, 1, 1
1690395533.6,0, 1, 1
1690395533.7,0, 1, 1
1690395533.8,0, 1, 1
1690395533.9,0, 1, 1
1690395534.0,0, 1, 1
1690395534.1,0, 1, 1
1690395534.2,0, 1, 1
1690395534.3,0, 1, 1
1690395534.4,0, 1, 1
1690395534.5,0, 1, 1
1690395534.6,0, 1, 1
1690395534.7,0, 1, 1
1690395534.8,0, 1, 1
1690395534.9,0, 1, 1
1690395535.0,0, 1, 1
1690395535.1,0, 1, 1
1690395535.2,0, 1, 1
1690395535.3,0, 1, 1
1690395535.4,0, 1, 1
1690395535.5,0, 1, 1
1690395535.6,0, 1, 1
1690395535.7,0, 1, 1
1690395535.8,0, 1, 1
1690395535.9,0, 1, 1
1690395536.0,0, 1, 1
1690395536.1,0, 1, 1
1690395536.2,0, 1, 1
1690395536.3,0, 1, 1
1690395536.4,0, 1, 1
1690395536.5,0, 1, 1
1690395536.6,0, 0, 0
1690395536.7,0, 0, 0
1690395536.8,0, 0, 0
1690395536.9,0, 0, 0
1690395537.0,0, 0, 0
1690395537.1,0, 0, 0
1690395537.2,0, 0, 0
1690395537.3,0, 0, 0
1690395537.4,0, 0, 0
1690395537.5,0, 0, 0
1690395537.6,0, 0, 0
1690395537.7,0, 0, 0
1690395537.8,0, 0, 0
1690395537.9,0, 0, 0
1690395538.0,0, 0, 0
1690395538.1,0, 0, 0
1690395538.2,0, 0, 0
1690395538.3,0, 0, 0
1690395538.4,0, 0, 0
1690395538.5,0, 0, 0
1690395538.6,0, 0, 0
1690395538.7,0, 0, 0
1690395538.8,0, 0, 0
1690395538.9,0, 0, 0
1690395539.0,0, 0, 0
1690395539.1,0, 0, 0
1690395539.2,0, 0, 0
1690395539.3,0, 0, 0
1690395539.4,0, 0, 0
1690395539.5,0, 0, 0
1690395539.6,0, 0, 0
1690395539.7,0, 0, 0
1690395539.8,0, 0, 0
1690395539.9,0, 0, 0
1690395540.0,0, 0, 0
1690395540.1,0, 0, 0
1690395540.2,0, 0, 0
1690395540.3,0, 0, 0
1690395540.4,0, 0, 0
1690395540.5,0, 0, 0
1690395540.6,0, 0, 0
1690395540.7,0, 0, 0
1690395540.8,0, 0, 0
1690395540.9,0, 0, 0
1690395541.0,0, 0, 0
1690395541.1,0, 0, 0
1690395541.2,0, 0, 0
1690395541.3,0, 0, 0
1690395541.4,1, 0, 1
1690395541.5,1, 0, 1
1690395541.6,0, 0, 0
1690395541.7,0, 0, 0
1690395541.8,1, 0, 1
1690395541.9,1, 0, 1
