time,left,right,total
1689369483.1,1, 0, 1
1689369483.2,1, 0, 1
1689369483.3,1, 0, 1
1689369483.4,1, 0, 1
1689369483.5,1, 0, 1
1689369483.6,1, 0, 1
1689369483.7,1, 0, 1
1689369483.8,1, 1, 2
1689369483.9,1, 1, 2
1689369484.0,1, 1, 2
1689369484.1,0, 1, 1
1689369484.2,0, 1, 1
1689369484.3,0, 1, 1
1689369484.4,0, 1, 1
1689369484.5,0, 1, 1
1689369484.6,0, 1, 1
1689369484.7,0, 1, 1
1689369484.8,0, 1, 1
1689369484.9,0, 1, 1
1689369485.0,1, 1, 2
1689369485.1,1, 0, 1
1689369485.2,1, 0, 1
1689369485.3,1, 0, 1
1689369485.4,1, 0, 1
1689369485.5,1, 0, 1
1689369485.6,1, 0, 1
1689369485.7,1, 0, 1
1689369485.8,1, 0, 1
1689369485.9,1, 0, 1
1689369486.0,1, 0, 1
1689369486.1,1, 0, 1
1689369486.2,1, 0, 1
1689369486.3,1, 0, 1
1689369486.4,1, 0, 1
1689369486.5,1, 0, 1
1689369486.6,1, 0, 1
1689369486.7,2, 0, 2
1689369486.8,2, 0, 2
1689369486.9,2, 0, 2
1689369487.0,2, 0, 2
1689369487.1,2, 0, 2
1689369487.2,1, 0, 1
1689369487.3,1, 0, 1
1689369487.4,1, 0, 1
1689369487.5,1, 0, 1
1689369487.6,1, 0, 1
1689369487.7,1, 0, 1
1689369487.8,1, 0, 1
1689369487.9,1, 0, 1
1689369488.0,1, 0, 1
1689369488.1,1, 0, 1
1689369488.2,1, 0, 1
1689369488.3,1, 0, 1
1689369488.4,1, 0, 1
1689369488.5,1, 0, 1
1689369488.6,1, 0, 1
1689369488.7,1, 0, 1
1689369488.8,1, 0, 1
1689369488.9,1, 0, 1
1689369489.0,1, 0, 1
1689369489.1,1, 0, 1
1689369489.2,1, 0, 1
1689369489.3,1, 0, 1
1689369489.4,1, 0, 1
1689369489.5,1, 0, 1
1689369489.6,1, 0, 1
1689369489.7,1, 0, 1
1689369489.8,1, 0, 1
1689369489.9,1, 0, 1
1689369490.0,0, 0, 0
1689369490.1,0, 0, 0
1689369490.2,0, 0, 0
1689369490.3,0, 0, 0
1689369490.4,0, 0, 0
1689369490.5,0, 0, 0
1689369490.6,0, 0, 0
1689369490.7,0, 0, 0
1689369490.8,0, 0, 0
1689369490.9,0, 0, 0
1689369491.0,0, 0, 0
1689369491.1,0, 0, 0
1689369491.2,0, 0, 0
1689369491.3,0, 0, 0
1689369491.4,0, 0, 0
1689369491.5,0, 0, 0
1689369491.6,0, 0, 0
1689369491.7,0, 0, 0
1689369491.8,0, 0, 0
1689369491.9,0, 0, 0
1689369492.0,0, 0, 0
1689369492.1,0, 0, 0
1689369492.2,0, 0, 0
1689369492.3,0, 0, 0
1689369492.4,0, 0, 0
1689369492.5,0, 0, 0
1689369492.6,0, 0, 0
1689369492.7,0, 0, 0
1689369492.8,0, 0, 0
1689369492.9,0, 0, 0
1689369493.0,0, 0, 0
1689369493.1,0, 0, 0
1689369493.2,0, 0, 0
1689369493.3,0, 0, 0
1689369493.4,0, 0, 0
1689369493.5,0, 0, 0
1689369493.6,0, 0, 0
1689369493.7,0, 0, 0
1689369493.8,0, 0, 0
1689369493.9,0, 0, 0
1689369494.0,0, 0, 0
1689369494.1,0, 0, 0
1689369494.2,0, 0, 0
1689369494.3,0, 0, 0
