time,left,right,total
1689369347.1,0, 0, 0
1689369347.2,0, 0, 0
1689369347.3,0, 0, 0
1689369347.4,0, 0, 0
1689369347.5,0, 0, 0
1689369347.6,0, 0, 0
1689369347.7,1, 0, 1
1689369347.8,1, 0, 1
1689369347.9,1, 0, 1
1689369348.0,1, 0, 1
1689369348.1,1, 0, 1
1689369348.2,1, 0, 1
1689369348.3,1, 0, 1
1689369348.4,1, 0, 1
1689369348.5,1, 0, 1
1689369348.6,1, 0, 1
1689369348.7,1, 0, 1
1689369348.8,1, 0, 1
1689369348.9,1, 0, 1
1689369349.0,1, 0, 1
1689369349.1,1, 0, 1
1689369349.2,1, 0, 1
1689369349.3,1, 0, 1
1689369349.4,1, 0, 1
1689369349.5,1, 0, 1
1689369349.6,1, 0, 1
1689369349.7,1, 0, 1
1689369349.8,1, 0, 1
1689369349.9,1, 0, 1
1689369350.0,1, 0, 1
1689369350.1,1, 0, 1
1689369350.2,1, 0, 1
1689369350.3,1, 0, 1
1689369350.4,1, 0, 1
1689369350.5,1, 0, 1
1689369350.6,1, 0, 1
1689369350.7,1, 0, 1
1689369350.8,1, 0, 1
1689369350.9,1, 0, 1
1689369351.0,1, 0, 1
1689369351.1,1, 0, 1
1689369351.2,1, 0, 1
1689369351.3,1, 0, 1
1689369351.4,1, 0, 1
1689369351.5,1, 0, 1
1689369351.6,1, 0, 1
1689369351.7,1, 0, 1
1689369351.8,1, 0, 1
1689369351.9,1, 0, 1
1689369352.0,1, 0, 1
1689369352.1,1, 0, 1
1689369352.2,1, 0, 1
1689369352.3,1, 0, 1
1689369352.4,1, 0, 1
1689369352.5,1, 0, 1
1689369352.6,2, 0, 2
1689369352.7,2, 0, 2
1689369352.8,2, 0, 2
1689369352.9,2, 0, 2
1689369353.0,2, 0, 2
1689369353.1,2, 0, 2
1689369353.2,2, 0, 2
1689369353.3,2, 0, 2
1689369353.4,2, 0, 2
1689369353.5,2, 0, 2
1689369353.6,2, 0, 2
1689369353.7,2, 0, 2
1689369353.8,2, 0, 2
