# time,event
1689650468.58,out right
1689650470.28,out right
1689650473.58,in left
1689650474.98,out right
1689650475.98,in left
1689650480.88,in left
1689650482.68,out right
1689650484.68,out right
1689650487.38,in left
1689650488.68,in right
1689650490.78,out right
1689650494.58,in left
1689650498.88,in left
1689650499.28,in right
1689650500.48,in left
1689650502.68,in left
1689650503.58,out right
1689650509.38,in left
1689650513.88,in left
1689650518.58,in right
1689650519.58,out right
1689650519.58,out right
1689650519.68,in right
1689650520.18,in left
1689650524.38,out right
1689650524.48,in right
1689650524.78,out right
1689650524.88,out right
1689650525.98,in left
1689650525.98,out left
1689650527.38,out right
1689650527.48,in right
1689650527.88,out right
1689650528.58,out right
1689650529.18,in left
1689650530.58,in right
1689650530.58,out right
1689650531.98,in left
1689650532.18,out right
1689650534.18,in left
1689650534.48,in left
1689650535.28,in left
1689650536.68,out right
1689650536.78,in right
1689650538.88,in left
1689650543.28,out right
1689650543.58,out right
1689650545.28,in right
1689650549.88,in left
1689650550.08,out right
1689650550.38,out right
1689650551.78,out right
1689650553.28,out right
1689650553.38,in right
1689650554.08,out right
1689650554.28,out right
1689650554.78,out right
1689650554.88,in right
1689650555.88,out right
1689650555.98,in right
1689650556.08,out right
1689650557.48,out right
1689650557.48,in right
1689650557.78,out right
