time,event
1689660160.61,out right
1689660162.31,out right
1689660165.61,in left
1689660167.01,out right
1689660168.01,in left
1689660173.01,in left
1689660174.71,out right
1689660179.41,in left
1689660182.81,out right
1689660185.21,in left
1689660186.61,in left
1689660190.31,in right
1689660190.91,in left
1689660192.51,in left
1689660194.71,in left
1689660201.41,in left
1689660205.91,in left
1689660211.61,out right
1689660212.11,in left
1689660216.81,out right
1689660216.91,out right
1689660218.01,in left
1689660218.01,out left
1689660218.31,out right
1689660218.41,in right
1689660219.81,out right
1689660220.61,out right
1689660221.21,in left
1689660222.51,in right
1689660224.01,in left
1689660224.21,out right
1689660226.31,in left
1689660226.51,in left
1689660227.31,in left
1689660230.91,in left
1689660241.91,in left
1689660242.01,in right
1689660242.11,out right
1689660242.41,out right
1689660243.81,out right
1689660244.31,in right
1689660246.11,out right
1689660246.11,in right
1689660246.21,out right
1689660246.31,out right
1689660247.91,out right
1689660248.31,out right
1689660249.61,out right
1689660250.11,out right
1689660250.41,in right
