time,event
1689368384.8,out left
1689368389.5,out left
1689368389.9,out left
1689368391.3,out left
1689368399.2,out left
1689368417.2,out left
1689368417.5,out left
1689368424.6,out right
1689368432.6,out right
1689368458.2,out left
1689368470.4,in right
1689368481.0,out left
1689368484.8,out left
1689368490.3,out left
1689368493.0,out left
1689368498.6,out left
1689368501.2,out left
1689368502.5,in left
1689368526.1,out left
1689368527.5,out left
1689368536.0,out left
1689368539.2,out left
1689368540.9,in left
1689368550.2,in right
1689368557.9,in right
1689368559.5,in right
1689368570.4,out right
1689368603.2,out left
1689368606.3,out left
1689368615.8,out left
1689368628.0,out left
